MatchID,Season,MatchWeek,Date,Time,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,HalfTimeHomeTeamGoals,HalfTimeAwayTeamGoals,HalfTimeResult,Referee,HomeTeamShots,AwayTeamShots,HomeTeamShotsOnTarget,AwayTeamShotsOnTarget,HomeTeamCorners,AwayTeamCorners,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards,B365HomeTeam,B365Draw,B365AwayTeam,B365Over2.5Goals,B365Under2.5Goals,MarketMaxHomeTeam,MarketMaxDraw,MarketMaxAwayTeam,MarketAvgHomeTeam,MarketAvgDraw,MarketAvgAwayTeam,MarketMaxOver2.5Goals,MarketMaxUnder2.5Goals,MarketAvgOver2.5Goals,MarketAvgUnder2.5Goals,HomeTeamPoints,AwayTeamPoints
2023-2024_Chelsea_Bournemouth,2023-2024,38,2024-05-19,16:00,Chelsea,Bournemouth,2,1,H,1,0,H,A Taylor,16,22,6,5,6,5,5,9,2,3,0,0,1.45,5,6,1.29,3.75,1.49,5.75,6.5,1.45,5.32,5.99,1.3,3.92,1.27,3.71,3,0
2023-2024_Crystal Palace_Aston Villa,2023-2024,38,2024-05-19,16:00,Crystal Palace,Aston Villa,5,0,H,2,0,H,D Bond,15,8,9,2,2,4,10,8,1,4,0,0,1.85,4.33,3.6,1.4,3,1.93,4.5,3.84,1.87,4.28,3.67,1.42,3.12,1.39,2.96,3,0
2023-2024_Liverpool_Wolves,2023-2024,38,2024-05-19,16:00,Liverpool,Wolves,2,0,H,2,0,H,C Kavanagh,36,4,14,3,10,2,14,11,1,1,0,1,1.17,8,15,1.22,4.33,1.18,10,17,1.16,8.71,14.55,1.24,4.55,1.22,4.23,3,0
2023-2024_Luton_Fulham,2023-2024,38,2024-05-19,16:00,Luton,Fulham,2,4,A,1,2,A,M Donohue,15,15,6,7,4,4,15,20,5,4,0,0,2.9,3.9,2.2,1.44,2.75,3,4.35,2.3,2.92,3.95,2.23,1.48,2.86,1.44,2.76,0,3
2023-2024_Man City_West Ham,2023-2024,38,2024-05-19,16:00,Man City,West Ham,3,1,H,2,1,H,J Brooks,28,3,12,2,11,2,3,12,0,1,0,0,1.08,12,21,1.2,4.5,1.11,14,25,1.1,11.72,21.81,1.22,4.85,1.2,4.45,3,0
2023-2024_Sheffield United_Tottenham,2023-2024,38,2024-05-19,16:00,Sheffield United,Tottenham,0,3,A,0,1,A,A Madley,6,18,1,9,2,6,11,9,2,0,0,0,7,6,1.33,1.22,4.33,7.9,6.34,1.39,7.32,6.04,1.35,1.26,4.4,1.22,4.14,0,3
2024-2025_Man United_Fulham,2024-2025,1,2024-08-16,20:00,Man United,Fulham,1,0,H,0,0,D,R Jones,14,10,5,2,7,8,12,10,2,3,0,0,1.6,4.2,5.25,1.53,2.5,1.68,4.5,5.5,1.62,4.36,5.15,1.57,2.6,1.53,2.52,3,0
2024-2025_Ipswich_Liverpool,2024-2025,1,2024-08-17,12:30,Ipswich,Liverpool,0,2,A,0,0,D,T Robinson,7,18,2,5,2,10,9,18,3,1,0,0,8.5,5.5,1.33,1.4,3,9,6.1,1.37,8.28,5.76,1.34,1.43,3.07,1.41,2.94,0,3
2024-2025_Arsenal_Wolves,2024-2025,1,2024-08-17,15:00,Arsenal,Wolves,2,0,H,1,0,H,J Gillett,18,9,6,3,8,2,17,14,2,2,0,0,1.18,7.5,13,1.44,2.75,1.2,9.1,18,1.18,7.86,15.87,1.5,2.82,1.46,2.7,3,0
2024-2025_Everton_Brighton,2024-2025,1,2024-08-17,15:00,Everton,Brighton,0,3,A,0,1,A,S Hooper,9,10,1,5,1,5,8,8,1,1,1,0,2.63,3.3,2.63,1.8,2,2.76,3.66,2.78,2.67,3.41,2.68,1.85,2.08,1.81,2.04,0,3
2024-2025_Newcastle_Southampton,2024-2025,1,2024-08-17,15:00,Newcastle,Southampton,1,0,H,1,0,H,C Pawson,3,19,1,4,3,12,15,16,2,4,1,0,1.36,5.25,8,1.4,3,1.37,5.9,8.6,1.35,5.62,8.1,1.42,3.12,1.4,3.01,3,0
2024-2025_Nott'm Forest_Bournemouth,2024-2025,1,2024-08-17,15:00,Nott'm Forest,Bournemouth,1,1,D,1,0,H,M Oliver,14,13,8,4,2,6,17,8,1,3,0,0,2.45,3.5,2.8,1.73,2.1,2.51,3.7,3,2.45,3.49,2.89,1.81,2.14,1.77,2.08,1,1
2024-2025_West Ham_Aston Villa,2024-2025,1,2024-08-17,17:30,West Ham,Aston Villa,1,2,A,1,1,D,T Harrington,14,15,3,3,5,3,18,11,1,2,0,0,2.45,3.6,2.75,1.57,2.38,2.49,3.91,2.87,2.44,3.69,2.79,1.59,2.52,1.57,2.43,0,3
